Name_Unificado,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
"""Nuke It""",,,,,
#IDARB,,,,,
#killallzombies,,,,,
'70s Robot Anime: Geppy-X,,,,,
'98 Koshien,0.15,0.1,0.12,0.03,0.41
'99 Koshien,,,,,
'Splosion Man,,,,,
(c-12) Final Resistance,,,,,
- Arcane RERaise -,,,,,
- Arcane Raise -,,,,,
- Arcane preRaise -,,,,,
...Iru!,,,,,
.deTuned,,,,,
Vektor Tank,,,,,
Vektorial Pong,,,,,
Velldeselba Senki: Tsubasa no Kunshou,,,,,
Velocity,,,,,
Velocity (2012),,,,,
Velocity 2X,,0.0,,0.0,0.0
Velvet Assassin,0.14,0.02,0.01,0.01,0.18
Velvet Echo,,,,,
Velvet file Plus,,,,,
Venatio Creo,,,,,
Venetica,0.16,0.1,,0.03,0.3
Venice Beach Volleyball,,,,,
Venice Deluxe,,,,,
Venture,,,,,
Venture Kid,,,,,
Venture Tycoon,,,,,
Venus & Braves: Majo to Megami to Horobi no Yogen,,,0.05,,0.05
Verbier Ride,,,,,
Vermeer,,,,,
Vermeer 2,,,,,
Vermilion Desert,,,,,
Vermin Kids,,,,,
Versailles 1685,,,,,
Versus Hero,,,,,
Vertex Dispenser,,,,,
Vertical Drop Heroes,,,,,
Vertical Force,,,,,
Vertical Numbers,,,,,
Vertiginous Golf,,,,,
Vertigo,0.05,,,0.0,0.05
Very Hungry Pumpkin,,,,,
Vessel,,,,,
Vesta,,,,,
Vexed Jewels,,,,,
Vexx,0.25,0.12,,0.03,0.4
Vibes,,,,,
Vice: Project Doom,,,,,
Victim of Xen,,,,,
Victor Vran ARPG,,,,,
Victor Vran: Overkill Edition,0.06,,,0.01,0.06
Victoria,,,,,
Victoria II,,0.0,,0.0,0.0
Victoria II with Victoria II: A House Divided,,,,,
Victoria II: A House Divided,,,,,
Victoria: Complete,,,,,
Victoria: Revolutions,,,,,
Victorian Mysteries: Woman in White,,0.01,,0.0,0.01
Victorious Boxers 2: Fighting Spirit,,,,,
Victorious Boxers: Ippo's Road to Glory,0.05,0.04,0.38,0.01,0.47
Victorious Boxers: Revolution,0.07,0.0,0.06,0.01,0.14
Victorious: Hollywood Arts Debut,0.13,0.01,,0.01,0.15
Victorious: Taking the Lead,,0.0,,,0.0
Victorious: Time to Shine,0.12,,,0.01,0.13
Victory At Sea,,,,,
Victory Boxing Champion Edition,,,,,
Victory Run,,,,,
Victory Spike,,,0.01,0.0,0.01
Victory Zone,,,0.1,0.01,0.11
Victory Zone 2,,,,,
Vid Grid,,,,,
Video Checkers,,,,,
Video Chess,,,,,
Video Jogger,,,,,
Video Life,,,,,
Video Olympics,,,,,
Video Pinball,,,,,
Video Reflex,,,,,
Videomation,,,,,
Vietcong,,0.02,,0.0,0.02
Vietcong 2,,0.0,,0.0,0.0
Vietcong: Fist Alpha,,,,,
Vietcong: Purple Haze,0.15,0.09000000000000001,,0.02,0.26
Vietnam: Black Ops,,,,,
Vietnam: The Tet Offensive,,,,,
Viewpoint,0.04,0.03,,0.0,0.07
Viewpoint (CD),,,,,
Viewtiful Joe,0.52,0.21000000000000002,0.12,0.06,0.9
Viewtiful Joe 2,0.27,0.12,,0.04,0.43
Viewtiful Joe: Double Trouble!,0.08,0.0,0.01,0.01,0.11
Viewtiful Joe: Red Hot Rumble,0.12,0.01,,0.01,0.15
Vigil: Blood Bitterness,,,,,
Vigilance,,,,,
Vigilante,,,,,
Vigilante 8,0.93,0.53,,0.08,1.54
Vigilante 8: 2nd Offense,0.36,0.19999999999999998,,0.03,0.59
Vigilante 8: Arcade,,,,,
Viking Brothers,,,,,
Viking Child,,,,,
Viking Invasion,,,,,
Viking Saga: Epic Adventure,,,,,
Viking: Battle for Asgard,0.30000000000000004,0.41000000000000003,,0.12000000000000001,0.8200000000000001
Vikings 4: Tribes of the North,,0.0,,0.0,0.0
Vikings: The Strategy of Ultimate Conquest,,,,,
Vikings: Wolves of Midgard,0.05,0.01,,0.01,0.08
Viktor,,,,,
Village Life,,,,,
Villagers and Heroes,,,,,
Vin Diesel: Wheelman,0.36,0.31000000000000005,,0.09,0.77
Vindicators,,,,,
Vindictus,,,,,
Vinnie's Tomb,,,,,
Violet no Atelier: Gramnad no Renkinjutsushi 2,,,,,
Violet no Atelier: Gramnad no Renkinjutsushi 2 - Gunjou no Omoide,,,0.02,,0.02
Violett,,,,,
Violett Remastered,,,,,
Violin Paradise,,,,,
Viper Racing,,,,,
Viral Survival,,,,,
Virginia,,,,,
Virtua Athlete 2000,,,,,
Virtua Cop,,,0.62,,0.62
Virtua Cop 2,,,0.3,,0.3
Virtua Cop Special Pack,,,,,
Virtua Cop: Elite Edition,,,,,
Virtua Fighter,0.17,0.12,0.77,0.02,1.07
Virtua Fighter 2,0.34,0.26,1.3,0.03,1.93
Virtua Fighter 2 (Genesis),,,,,
Virtua Fighter 3tb,,,0.37,0.0,0.37
Virtua Fighter 4,,,,,
Virtua Fighter 4: Evolution,0.35,0.27,,0.09,0.71
Virtua Fighter 5,0.29,0.52,0.08,0.2,1.08
Virtua Fighter 5 Online,0.2,0.02,0.03,0.02,0.28
Virtua Fighter Animation,,,,,
Virtua Fighter CG Portrait Series The Final: Dural,,,,,
Virtua Fighter CG Portrait Series Vol.10: Jeffry McWild,,,,,
Virtua Fighter CG Portrait Series Vol.1: Sarah Bryant,,,0.11,0.0,0.11
Virtua Fighter CG Portrait Series Vol.2: Jacky Bryant,,,0.08,,0.08
Virtua Fighter CG Portrait Series Vol.3: Akira Yuki,,,0.09,0.0,0.09
Virtua Fighter CG Portrait Series Vol.4: Pai Chan,,,0.12,0.0,0.12
Virtua Fighter CG Portrait Series Vol.5: Wolf Hawkfield,,,0.05,,0.05
Virtua Fighter CG Portrait Series Vol.6: Lau Chan,,,0.04,,0.04
Virtua Fighter CG Portrait Series Vol.7: Shun Di,,,,,
Virtua Fighter CG Portrait Series Vol.8: Lion Rafale,,,,,
Virtua Fighter CG Portrait Series Vol.9: Kage Maru,,,,,
Virtua Fighter Kids,,,0.23,,0.23
Virtua Fighter Remix,,,,,
Virtua Pachi-Slot 7,,,,,
Virtua Pachi-Slot EX,,,,,
Virtua Pachi-Slot History of Kitadenshi,,,,,
Virtua Pachi-Slot Olympia Special,,,,,
Virtua Pachi-Slot V,,,,,
Virtua Pachi-Slot VI,,,,,
Virtua Pro Football,,,0.02,,0.02
Virtua Quest,0.02,0.01,,0.0,0.03
Virtua Racing,,,0.26,,0.26
Virtua Squad,,,,,
Virtua Squad 2,,,,,
Virtua Striker 2,,,0.32,,0.32
Virtua Striker 2002,0.01,0.0,0.03,0.0,0.05
Virtua Tennis,0.13,0.05,,0.0,0.18
Virtua Tennis 2009,0.32999999999999996,0.61,,0.13,1.08
Virtua Tennis 3,0.28,0.62,0.03,0.22,1.1500000000000001
Virtua Tennis 4,0.26,0.44,0.04,0.12,0.87
Virtua Tennis 4: World Tour,0.04,0.34,0.01,0.09,0.49
Virtua Tennis: World Tour (US & Others sales),,,,,
Virtua Tennis: World Tour (jp sales),,,0.02,,0.02
Virtual Attraction - Part 1,,,,,
Virtual Bart,,,,,
Virtual Bowling,,,,,
Virtual Boy Wario Land,,,,,
Virtual Cameraman Part 1: Sawada Naomi and Juri Anna,,,,,
Virtual Cameraman Part 2: Kawai Natsumi and Tachihara Kimi,,,,,
Virtual Cameraman Part 3: Sugimoto Yumika,,,,,
Virtual Cameraman Part 4: Toya Shiori,,,,,
Virtual Cameraman Part 5: Anzo Ari,,,,,
Virtual Casino,,,,,
Virtual Chess 64,0.05,0.01,,0.0,0.06
Virtual City 2: Paradise Resort,,,,,
Virtual City Playground,,,,,
Virtual Fishing,,,,,
Virtual Gallop Kishudou,,,,,
Virtual Hydlide,,,0.11,0.0,0.11
Virtual Kasparov,0.01,0.01,,0.0,0.02
Virtual Lab,,,,,
Virtual League Baseball,,,,,
Virtual Light Machine,,,,,
Virtual Money Plant,,,,,
Virtual Open Tennis,,,,,
Virtual Pinball,,,,,
Virtual Pool,0.28,0.19,,0.03,0.51
Virtual Pool 2,,,,,
Virtual Pool 3,,,,,
Virtual Pool 64,0.08,0.02,,0.0,0.1
Virtual Pool Hall,,,,,
Virtual Pool: Tournament Edition,0.02,0.01,,0.0,0.03
Virtual Pro Wrestling,,,0.09,0.01,0.1
Virtual Pro Wrestling 2: Oudou Keishou,,,,,
Virtual Pro Wrestling 64,,,,,
Virtual Puppet Reika,,,,,
Virtual Soccer,,,0.53,0.0,0.53
Virtual VCR: Colors of Modern Rock,,,,,
Virtual Valerie 2,,,,,
Virtual Villagers 2: The Lost Children,,,,,
Virtual Villagers: A New Home,0.04,0.01,,0.0,0.05
Virtuoso,,,,,
Virus,,,0.08,0.0,0.08
Virus Shooter XX,,,,,
Virus: The Game,,,,,
VirusWar,,,,,
Viscera Cleanup Detail,,,,,
Viscera Cleanup Detail: Santa's Rampage,,,,,
Viscount - Legends of Flight,,,,,
Visual Mix Ayumi Hamasaki Dome Tour 2001,,,,,
Vitamin R,,,0.02,,0.02
Vitamin X,,,0.01,,0.01
Vitamin X Evolution,,,0.03,,0.03
Vitamin X Evolution Plus,,,0.02,,0.02
Vitamin X to Z,,,0.06,,0.06
Vitamin X: Destination,,,0.01,,0.01
Vitamin X: Detective B6,,,0.02,,0.02
Vitamin Y,,,0.01,,0.01
Vitamin Z,,,0.03,,0.03
Vitamin Z Revolution,,,0.02,,0.02
Vitamin Z: Graduation,,,0.01,,0.01
Vitrum,,,,,
Viva Pinata,,0.02,,0.0,0.02
Viva Pinata: Party Animals,0.19,0.02,,0.02,0.23
Viva Pinata: Pocket Paradise,0.26,0.23,,0.06,0.55
Viva Pinata: Trouble in Paradise,0.16,0.25,0.01,0.05,0.47
Vivisector: Beast Within,,,,,
Vixen,,,,,
Vixen 357,,,,,
Vizati,,,,,
VizionEck,,,,,
Vlad the Impaler,,,,,
Voice Changer 360,,,,,
Voice Commander,,,,,
Voice Paradise,,,,,
VoidExpanse,,,,,
Volchaos,,,,,
Volfied,,,,,
Volfoss,,,,,
Volgarr the Viking,,,,,
Volley Fire,,,,,
Volleyball,,,,,
Volleyball (FDS),,,,,
Volleyball Challenge,,,,,
Volleyball Xciting,,,,,
Volt,,,,,
Voltage,,,,,
Voltron,,,,,
Volume,,,,,
Volvo: Drive for Life,,,,,
Voodoo Chronicles: First Sign,0.03,,,0.0,0.04
Voodoo Dice,,,,,
Voodoo Nights,,,,,
Voodoo Vince,0.09,0.03,,0.0,0.12
Voodoo Vince: Remastered,,,,,
Voodoo Whisperer Curse of a Legend,,,,,
Vorpal,,,,,
Vortex,,,,,
Vostok Inc.,,,,,
Voxatron,,,,,
Voyage Century,,,,,
Voyage: Inspired by Jules Verne,,,,,
Voyage: Journey to the Moon,,,,,
Vroom in the Night Sky,,,,,
Vulcanus: Seek & Destroy,,,,,
Vulture Attack,,,,,
W Ring: The Double Rings,,,,,
W. L. O. Sekai Renai Kikou,,,,,
W. L. O. Sekai Renai Kikou LLS: Love Love Show,,,,,
W.I.T.C.H.,,,,,
W.L.O. Sekai Renai Kikousen,,,0.02,,0.02
WAKEDAS,,,,,
WAR,,,,,
WCW Backstage Assault,0.22999999999999998,0.11,,0.01,0.35
WCW Mayhem,1.31,0.61,,0.09,2.01
WCW Nitro,1.5899999999999999,0.39999999999999997,0.03,0.07,2.09
WCW World Wrestling Championship,,,,,
WCW vs The World,,,,,
WCW vs the World,1.17,0.2,0.04,0.05,1.46
WCW vs. nWo: World Tour,1.37,0.28,0.03,0.02,1.69
WCW/NWO Thunder,1.1,0.48,0.04,0.07,1.69
WCW/nWo Revenge,1.94,0.39,0.03,0.02,2.38
WCW/nWo Thunder,,,,,
WCW: The Main Event,,,,,
WILL: A Wonderful World,,,,,
WORKxWORK,,,0.01,,0.01
WORLD END ECONOMiCA,,,,,
WOW! 6 Games Simulations Collection,,0.0,,0.0,0.0
WRC 2: FIA World Rally Championship,,0.21,,0.04,0.25
WRC 3: FIA World Rally Championship,,,,,
WRC 4: FIA World Rally Championship,,0.0,,0.0,0.0
WRC 5: FIA World Rally Championship,0.04,0.16,,0.04,0.24
WRC 6,0.06,0.03,0.01,0.01,0.13
WRC 7,0.1,,,0.02,0.12000000000000001
WRC 8,,,,,
WRC II Extreme,,,,,
WRC: FIA World Rally Championship,0.02,0.26,0.01,0.05,0.37
WRC: FIA World Rally Championship 3,,,,,
WRC: FIA World Rally Championship 4,,,,,
WRC: FIA World Rally Championship Arcade,,,,,
WRC: Rally Evolved,,,,,
WRC: World Rally Championship,0.12,0.09,,0.03,0.25
WSC REAL 08: World Snooker Championship,,0.0,,0.0,0.0
WSC REAL 09: World Snooker Championship,,0.02,,0.0,0.02
WSC Real 09: World Championship Snooker,,0.0,,0.0,0.0
WSC Real 11: World Snooker Championship,,0.1,,0.02,0.12
WTA Tour Tennis,0.06,0.02,,0.01,0.09
WTF: Work Time Fun,0.04,,,0.0,0.04
WWC: World Wrestling Championship,,,,,
WWE '12,1.5,0.9400000000000001,0.02,0.32,2.79
WWE '13,1.34,1.08,,0.34,2.77
WWE 2K14,1.13,0.89,,0.30000000000000004,2.3200000000000003
WWE 2K15,1.47,1.2999999999999998,,0.43,3.21
WWE 2K16,1.3,1.25,,0.39999999999999997,2.94
WWE 2K17,0.8300000000000001,1.28,,0.33,2.46
WWE 2K18,0.94,1.0,,0.3,2.22
WWE 2K19,0.6599999999999999,0.6000000000000001,,0.2,1.46
WWE 2k17,,,,,
WWE Aftershock,,,,,
WWE All Stars,0.76,0.53,,0.18,1.47
WWE Brawl,,,,,
WWE Crush Hour,0.23,0.15,,0.04,0.43
WWE Day of Reckoning,0.35,0.09,,0.01,0.45
WWE Day of Reckoning 2,0.26,0.07,,0.01,0.34
WWE Immortals,,,,,
WWE Raw,,0.0,,0.0,0.0
WWE Raw 2,0.43,0.11,,0.02,0.56
WWE Road to WrestleMania X8,0.19,0.07,,0.0,0.27
WWE SmackDown vs Raw 2008,3.4,1.85,0.02,2.14,7.39
WWE SmackDown vs. RAW 2007,2.17,1.11,0.03,0.44,3.74
WWE SmackDown vs. Raw 2009,2.77,1.09,0.01,0.9800000000000001,4.86
WWE SmackDown vs. Raw 2010,2.66,1.3900000000000001,0.02,1.08,5.15
WWE SmackDown vs. Raw 2011,1.63,1.32,0.01,0.54,3.5100000000000002
WWE SmackDown! Here Comes the Pain,1.32,1.06,0.04,0.38,2.8
WWE SmackDown! Shut Your Mouth,2.77,2.42,0.11000000000000001,0.38,5.68
WWE SmackDown! vs. RAW 2006,1.81,1.12,0.04,0.36,3.34
WWE SmackDown! vs. Raw,1.32,1.08,0.04,0.39,2.83
WWE SmackDown! vs. Raw 2006,1.57,1.02,,0.41,3.0
WWE Smackdown vs. Raw 2010,,,,,
WWE Smackdown! vs. RAW Superstar Series,,,,,
WWE Smackdown! vs. Raw,,,,,
WWE SuperCard,,,,,
WWE Survivor Series,0.09,0.04,,0.0,0.13
WWE WrestleMania 21,0.34,0.1,,0.02,0.45
WWE Wrestlemania X8,0.38,0.1,,0.01,0.49
WWE Wrestlemania XIX,0.26,0.07,,0.01,0.33
WWF Attitude,1.8399999999999999,0.55,,0.08,2.4699999999999998
WWF Betrayal,,,,,
WWF King of the Ring,,,,,
WWF No Mercy,1.2,0.27,0.02,0.02,1.5
WWF Rage in the Cage,,,,,
WWF Raw (1994),,,,,
WWF Raw (2002),0.4,0.13,,0.02,0.55
WWF Royal Rumble,,,,,
WWF SmackDown!,2.01,1.35,0.06,0.16,3.58
WWF SmackDown! 2: Know Your Role,1.76,1.21,0.07,0.16,3.2
WWF SmackDown! Just Bring It,1.19,1.15,0.04,0.41,2.79
WWF Smackdown! Just Bring It,,,,,
WWF Super Wrestlemania,,,,,
WWF Superstars,,,,,
WWF Superstars 2,,,,,
WWF War Zone,3.5500000000000003,1.0,,0.15,4.6899999999999995
WWF With Authority!,,,,,
WWF WrestleMania,,,,,
WWF WrestleMania 2000,1.2,0.25,0.02,0.02,1.48
WWF WrestleMania Challenge,,,,,
WWF WrestleMania: Steel Cage Challenge,,,,,
WWF WrestleMania: The Arcade Game,,,,,
WWF Wrestlemania: The Arcade Game,0.03,0.02,,0.0,0.06
WWF in Your House,0.35,0.24,,0.04,0.62
WWII Aces,0.27,,,0.02,0.29
WWII FIGHTERS,,,,,
WWII GI,,,,,
WWII: Battle Over The Pacific,,0.0,,0.0,0.0
Wabbit,,,,,
Wachenroder,,,,,
Wacky Karts,,,,,
Wacky Land Boss,,,,,
Wacky Races,,,,,
Wacky Races / Bugs Bunny & Taz: Time Busters,,,,,
Wacky Races starring Dastardly & Muttley,,,,,
Wacky Races: Crash & Dash,0.46,0.0,,0.03,0.51
Wacky Water Fun: Shooting Gallery,,,,,
Wacky Wheels,,,,,
Wacky World of Sports,0.08,0.0,,0.01,0.09
Wacky Worlds Creativity Studio,,,,,
Wackylands Boss,,,,,
Wade Hixton's Counter Punch,0.01,0.0,,0.0,0.01
Waga Ryuu o Miyo: Pride of the Dragon Peace,,,,,
Wagamama * Fairy: Mirumo de Pon! DokiDoki Memorial Panic,,,,,
Wagamama * Fairy: Mirumo de Pon! Hachinin no Toki no Yousei,,,,,
Wagamama * Fairy: Mirumo de Pon! Mirumo no Mahou Gakkou Monogatari,,,,,
Wagamama * Fairy: Mirumo de Pon! Nazo no Kagi to Shinjitsu no Tobira,,,,,
Wagamama * Fairy: Mirumo de Pon! Ougon Maracas no Densetsu,,,,,
Wagamama * Fairy: Mirumo de Pon! Taisen Mahoudama,,,,,
Wagamama * Fairy: Mirumo de Pon! Yume no Kakera,,,,,
Wagamama High Spec,,,0.01,,0.01
Wagyan Land,,,,,
Wagyan Land 2,,,,,
Wagyan Land 3,,,,,
Wagyan Paradise,,,,,
Wai Wai 3-nin Uchi Mahjong,,,,,
Wai Wai Mahjong: Yukai na Jantomi-tachi,,,,,
Wai Wai World 2: SOS!! Paseri Jou,,,,,
Waialae Country Club,,,,,
Waialae Country Club: True Golf Classics,0.48,0.11,,,0.59
Wakeboarding HD,,,,,
Wakeboarding Unleashed Featuring Shaun Murray,0.13,0.08,,0.02,0.23
Wakfu,,,,,
Waku Waku 7,,,,,
Waku Waku Bowling,,,,,
Waku Waku Derby,,,,,
Waku Waku Volley,,,,,
Wakugumi: Monochrome Puzzle,,,,,
Wakusei Koukitai Little Cats,,,,,
Wakusei Woodstock: Funky Horror Band,,,,,
Walk it Out!,0.35,0.06,,0.03,0.44
Walketh,,,,,
Walking with Dinosaurs,,,,,
Wall Ball,,,,,
Wall Defender,,,,,
Wall Street Kid,,,,,
Wall-E,1.88,1.92,0.0,1.11,4.92
Wallaby!! Usagi no Kuni no Kanagroo Race,,,,,
Wallace & Gromit in Project Zoo,0.18,0.11,,0.03,0.33
Wallace & Gromit's Grand Adventures Episode 1: Fright of the Bumblebees,,,,,
Wallace & Gromit's Grand Adventures Episode 2: The Last Resort,,,,,
Wallace & Gromit's Grand Adventures Episode 3: Muzzled!,,,,,
Wallace & Gromit's Grand Adventures Episode 4: The Bogey Man,,,,,
Wallace & Gromit: Curse of the Were-Rabbit,0.06999999999999999,0.05,,0.02,0.13
Wally Bear and the No! gang,,,,,
Walt Disney Pictures Presents Enchanted,0.04,0.01,,0.0,0.05
Walt Disney Pictures Presents Enchanted: Once Upon Andalasia,,,,,
Walt Disney Pictures Presents The Santa Clause 3: The Escape Clause,,,,,
Walt Disney Pictures Presents: Dinosaur,,,,,
Walt Disney Pictures Presents: The Wild,0.09,0.03,,0.0,0.13
Walt Disney World Quest: Magical Racing Tour,0.25,0.17,,0.03,0.45
Walt Disney's Alice in Wonderland,,,,,
Walt Disney's The Jungle Book,,,,,
Walt Disney's The Jungle Book: Mowgli's Wild Adventure,,,,,
Walt Disney's The Jungle Book: Rhythm N'Groove,0.16999999999999998,0.13,,0.04,0.33999999999999997
Walter Payton Football,,,,,
Wan Nyan Doubutsu Byouin,,,,,
Wan Wan Meitantei,,,,,
Wand of Fortune,,,0.01,,0.01
Wand of Fortune 2 FD: Kimi ni Sasageru Epilogue,,,0.03,,0.03
Wand of Fortune 2: Jikuu ni Shizumu Mokushiroku,,,0.03,,0.03
Wand of Fortune Portable,,,0.01,,0.01
Wand of Fortune R,,,0.03,,0.03
Wand of Fortune R2 FD: Kimi ni Sasageru Epilogue,,,0.01,,0.01
Wand of Fortune R2: Jikuu ni Shizumu Mokushiroku,,,0.03,,0.03
Wand of Fortune Twin Pack,,,,,
Wand of Fortune: Mirai e no Prologue,,,0.01,,0.01
Wand of Fortune: Mirai e no Prologue Portable,,,0.01,,0.01
Wander,,,,,
Wanderer,,,,,
Wandering Willows,,,,,
Wanderjahr: Try Again or Walk Away,,,,,
Wanderlust: Rebirth,,,,,
Wandersong,,,,,
Wangan Dead Heat + Real Arrange,,,,,
Wangan Dream,,,,,
Wangan Midnight,,,0.03,,0.03
Wangan Midnight Portable,,,0.02,,0.02
Wangan Trial,,,,,
Wangan Trial Love,,,,,
Wanko Mix,,,,,
Wanko de Kururin! Wankuru,,,,,
Wannyon Idol Gakuen,,,,,
Wantame Fortune Channel,,,0.06,,0.06
Wantame Music Channel: Doko Demo Style,,,0.13,,0.13
Wantame Variety Channel,,,,,
Wanted,,,,,
Wanted Corp.,,,,,
Wanted Dead or Alive,,,,,
Wanted: A Wild Western Adventure,,,,,
Wanted: Monty Mole,,,,,
Wanted: Weapons of Fate,0.31000000000000005,0.26,0.01,0.08,0.6699999999999999
Wappy Dog,0.26,0.0,,0.02,0.28
War Breeds,,,,,
War Front: Turning Point,,,,,
War Gods,0.24000000000000002,0.06999999999999999,,0.0,0.31999999999999995
War Inc. Battlezone,,,,,
War Leaders: Clash of Nations,,0.02,,0.0,0.02
War RTS Deluxe,,,,,
War Rock,,,,,
War Ships,,,,,
War Theatre,,,,,
War Thunder,,,0.0,,0.0
War Wind,,,,,
War Wind II: Human Onslaught,,,,,
War World,,,,,
War for the Overworld,,,,,
War in Middle Earth,,,,,
War in a Box: Paper Tanks,,,,,
War in the Pacific: Admiral's Edition,,,,,
War of Thrones,,,,,
War of the Fallen,,,,,
War of the Monsters,0.26,0.2,,0.07,0.54
War of the Roses,,,,,
War of the Vikings,,0.0,,0.0,0.0
War on Folvos,,,,,
War: The Card Game Advanced,,,,,
WarBirds,,,,,
WarBirds 2004,,,,,
WarBirds 2006,,,,,
WarBirds III,,,,,
WarBirds Red Baron,,,,,
WarBirds: Dogfights,,0.0,,,0.0
WarCraft II: The Dark Saga,0.18,0.12,,0.02,0.31
WarDevil: Enigma,,,,,
WarGames: Defcon 1,,,,,
WarGods,,,,,
WarJetz,0.02,0.02,,0.01,0.04
WarMen Tactics,,,,,
WarTech: Senko no Ronde,0.04,0.0,,0.0,0.04
WarTech: Senko no Ronde (JP sales),,,0.01,,0.01
Warauinu no Bouken GB: Silly Go Lucky!,,,,,
Warbirds,,,,,
Warbirds Extreme,,,,,
Warbirds of WWII,,,,,
Warcraft II: Beyond the Dark Portal,,,,,
Warcraft II: Tides of Darkness,,,,,
Warcraft III: Reforged,,,,,
Warcraft III: Reign of Chaos,,,,,
Warcraft III: The Frozen Throne,,,,,
Warcraft: Orcs & Humans,,,,,
Wardner,,,,,
Warehouse and Logistic Manager,,,,,
Warface,,,,,
Warfare,,,,,
Warfare Nations,,,,,
Warfare Soundboard,,,,,
Warfire!,,,,,
Warframe,,,,,
Wargame,,,,,
Wargame Construction Set,,,,,
Wargame: Airland Battle,,0.0,,0.0,0.0
Wargame: European Escalation,,,,,
Wargame: Red Dragon,,,,,
Wargroove,,,,,
"Warhammer 40,000: Chaos Gate",,,,,
"Warhammer 40,000: Chess - Regicide",,,,,
"Warhammer 40,000: Dawn Of War - The Complete Collection",,,,,
"Warhammer 40,000: Dawn of War",0.01,0.04,,0.0,0.05
"Warhammer 40,000: Dawn of War - Dark Crusade",,0.0,,0.0,0.0
"Warhammer 40,000: Dawn of War II",,0.45,,0.01,0.47
"Warhammer 40,000: Dawn of War II - Chaos Rising",0.08,0.01,,0.01,0.1
"Warhammer 40,000: Dawn of War II - Retribution",,0.06,,0.02,0.08
"Warhammer 40,000: Dawn of War III",,0.04,,0.0,0.04
"Warhammer 40,000: Dawn of War: Platinum Edition",,,,,
"Warhammer 40,000: Dawn of War: Soulstorm",,0.02,,0.0,0.02
"Warhammer 40,000: Dawn of War: Winter Assault",,,,,
"Warhammer 40,000: Deathwatch",0.02,,,0.0,0.02
"Warhammer 40,000: Eternal Crusade",,0.0,,0.0,0.0
"Warhammer 40,000: Fire Warrior",0.08,0.06,,0.02,0.15
"Warhammer 40,000: Glory in Death",,,,,
"Warhammer 40,000: Inquisitor - Martyr",0.04,,,0.0,0.04
"Warhammer 40,000: Kill Team",,,,,
"Warhammer 40,000: Regicide",,,,,
"Warhammer 40,000: Rites of War",,,,,
"Warhammer 40,000: Space Marine",0.38,0.5,,0.14,1.01
"Warhammer 40,000: Squad Command",0.16,0.15000000000000002,,0.09,0.39
Warhammer Online: Age of Reckoning,,0.02,,0.0,0.02
Warhammer Quest,,,,,
Warhammer: Battle For Atluma,0.07,,,0.01,0.08
Warhammer: Battle March,0.09,0.02,,0.01,0.11
Warhammer: Chaosbane,,,,,
Warhammer: Dark Omen,0.02,0.01,,0.0,0.04
Warhammer: Mark of Chaos,,0.02,,0.0,0.03
Warhammer: Mark of Chaos - Battle March,,0.01,,0.0,0.01
Warhammer: Shadow of the Horned Rat,0.11,0.07,,0.01,0.19
Warhammer: The End Times - Vermintide,0.06,0.03,,0.01,0.1
Warhawk,0.74,0.56,,0.2,1.52
Warhawk (1996),,,,,
Warhound,,,,,
Wario Blast: Featuring Bomberman!,,,,,
Wario Land 3,,,,,
Wario Land 4,,,,,
Wario Land II,,,,,
Wario Land II (GBC),,,0.38,,0.38
Wario Land: Shake It!,,,,,
Wario World,0.34,0.09,,0.01,0.44
Wario's Woods,,,,,
Wario: Master of Disguise,0.28,0.02,0.33,0.03,0.65
WarioWare D.I.Y.,0.17,0.18,0.2,0.04,0.59
WarioWare D.I.Y. Showcase,,,,,
WarioWare Gold,0.11,0.03,0.13,0.01,0.28
WarioWare Touched!,,,,,
"WarioWare, Inc.: Mega MicroGame$",,,,,
"WarioWare, Inc.: Mega Party Game$",0.2,0.05,0.44,0.02,0.71
WarioWare: Smooth Moves,,,,,
WarioWare: Snapped!,,,,,
WarioWare: Twisted!,0.16,0.06,0.5,0.02,0.74
Warlock,,,,,
Warlock 2: The Exiled,,,,,
Warlocked,,,,,
Warlords,,,,,
Warlords (2011),,,,,
Warlords Battlecry,,,,,
Warlords Battlecry II,,,,,
Warlords Battlecry III,,,,,
Warlords DS,,,,,
Warlords II,,,,,
Warlords III: Darklords Rising,,,,,
Warlords III: Reign of Heroes,,,,,
Warlords IV: Heroes of Etheria,,0.0,,0.0,0.0
Warm Gun,,,,,
Warmachine: Tactics,,,,,
Warning: Code de la Route,,,,,
Warp,,,,,
Warp Shift,,,,,
WarpSpeed,,,,,
Warparty,,,,,
Warpath,0.0,0.0,,0.0,0.0
Warpath: Jurassic Park,0.15,0.1,,0.02,0.28
Warplock,,,,,
Warpman,,,,,
Warr,,,,,
Warrior Chess,,,,,
Warrior of Rome,,,,,
Warrior of Rome II,,,,,
Warriors All-Stars,0.03,,0.11,0.01,0.15000000000000002
Warriors Orochi,0.30000000000000004,0.09999999999999999,0.8200000000000001,0.05,1.27
Warriors Orochi 2,0.16,0.05,0.62,0.030000000000000002,0.87
Warriors Orochi 2 (JP sales),,,0.4,,0.4
Warriors Orochi 3,0.13999999999999999,0.15,0.83,0.04,1.16
Warriors Orochi 3 Hyper,0.04,0.03,0.02,0.01,0.08
Warriors Orochi 4,0.1,,0.21000000000000002,0.01,0.33
